egoid,exercisealone_5,exerciseothers_5,clubsports_5,swimming_5
44869,Not at all,Not at all,Not at all,Not at all
43516,1-2 times a week,1-2 times a week,Not at all,Not at all
89411,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all
74285,1-2 times a week,1-2 times a week,Not at all,Not at all
56527,1-2 times a week,1-2 times a week,Not at all,Not at all
16819,1-2 times a week,1-2 times a week,Not at all,Not at all
34591,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
89972,1-2 times a week,1-2 times a week,Not at all,Not at all
92552,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
73158,1-2 times a week,Three times a week or more,Not at all,Not at all
45963,1-2 times a month,1-2 times a month,Not at all,Not at all
22138,1-2 times a month,Three times a week or more,Not at all,Not at all
90136,1-2 times a week,1-2 times a week,Not at all,Not at all
46744,1-2 times a week,1-2 times a week,Not at all,Not at all
77941,Not at all,Not at all,Not at all,Not at all
44873,Three times a week or more,Three times a week or more,1-2 times a week,1-2 times a month
36540,1-2 times a week,1-2 times a week,Not at all,Not at all
83005,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
31439,1-2 times a week,Not at all,Not at all,Not at all
21899,1-2 times a month,1-2 times a month,Not at all,Not at all
29232,1-2 times a week,1-2 times a week,Not at all,Not at all
32249,1-2 times a week,1-2 times a week,Not at all,Less than 1-2 times a month
45375,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
25536,1-2 times a week,Not at all,Not at all,Not at all
32037,1-2 times a week,Not at all,Not at all,Not at all
46558,1-2 times a month,1-2 times a month,Not at all,Not at all
24016,1-2 times a week,1-2 times a week,Not at all,Not at all
52277,1-2 times a week,1-2 times a week,Not at all,Not at all
93699,1-2 times a month,1-2 times a week,Not at all,Not at all
36875,1-2 times a week,1-2 times a month,Not at all,Not at all
84011,1-2 times a week,Three times a week or more,Three times a week or more,Three times a week or more
90646,Three times a week or more,Not at all,1-2 times a month,Less than 1-2 times a month
88008,Three times a week or more,1-2 times a week,1-2 times a week,Less than 1-2 times a month
88967,1-2 times a week,1-2 times a week,Not at all,Not at all
46701,1-2 times a week,1-2 times a week,Not at all,Not at all
83566,1-2 times a month,1-2 times a month,Not at all,Not at all
21090,Not at all,Not at all,Not at all,Not at all
69419,1-2 times a week,1-2 times a week,Not at all,Not at all
87032,1-2 times a month,Not at all,Not at all,Not at all
94641,Not at all,Not at all,Not at all,Not at all
82728,Three times a week or more,1-2 times a week,Not at all,Not at all
45076,Not at all,Three times a week or more,Three times a week or more,Three times a week or more
58437,1-2 times a week,1-2 times a week,1-2 times a month,Three times a week or more
94862,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
14606,1-2 times a week,1-2 times a month,Three times a week or more,Not at all
64075,1-2 times a week,Three times a week or more,Not at all,Not at all
39787,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
82376,1-2 times a week,1-2 times a week,Not at all,Not at all
44872,Three times a week or more,1-2 times a month,Not at all,Not at all
87783,Not at all,Less than 1-2 times a month,Not at all,Not at all
47498,1-2 times a week,1-2 times a week,Not at all,Not at all
57325,Three times a week or more,Not at all,Not at all,Not at all
53776,1-2 times a week,1-2 times a week,Not at all,Not at all
58633,1-2 times a week,1-2 times a week,Not at all,Not at all
27306,Three times a week or more,Three times a week or more,Not at all,1-2 times a month
80607,1-2 times a week,1-2 times a week,Not at all,Not at all
73143,1-2 times a week,1-2 times a week,Not at all,Not at all
35797,1-2 times a week,1-2 times a week,Not at all,Not at all
46365,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
31045,1-2 times a week,1-2 times a week,Not at all,Not at all
74492,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
76791,1-2 times a week,1-2 times a week,Not at all,Not at all
21348,1-2 times a week,1-2 times a week,Not at all,Not at all
23287,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month
14763,1-2 times a week,1-2 times a week,Not at all,Not at all
22066,1-2 times a week,1-2 times a week,Not at all,Not at all
28247,Not at all,Not at all,Not at all,Not at all
72873,1-2 times a week,1-2 times a week,Not at all,Not at all
67544,1-2 times a week,1-2 times a week,Not at all,Not at all
76810,1-2 times a week,1-2 times a week,Not at all,Not at all
51760,Not at all,Three times a week or more,1-2 times a month,Not at all
72806,1-2 times a week,1-2 times a month,Not at all,Not at all
98766,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
60997,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all
36038,1-2 times a week,1-2 times a week,Not at all,Not at all
39146,1-2 times a month,Not at all,Not at all,Not at all
60963,1-2 times a week,1-2 times a week,Not at all,Not at all
67918,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all
34467,1-2 times a week,Three times a week or more,Not at all,1-2 times a week
42132,1-2 times a week,1-2 times a week,Not at all,Not at all
32668,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
24079,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
59673,1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all
74899,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
48891,1-2 times a week,1-2 times a week,Not at all,Not at all
81807,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all
77187,1-2 times a week,1-2 times a week,Not at all,Not at all
91176,Not at all,Not at all,Not at all,Not at all
35011,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
60903,1-2 times a week,1-2 times a week,Not at all,Not at all
35416,Less than 1-2 times a month,Not at all,Not at all,Not at all
89710,Three times a week or more,1-2 times a week,1-2 times a month,1-2 times a month
97596,Three times a week or more,1-2 times a week,Not at all,Not at all
39129,1-2 times a week,1-2 times a week,Not at all,Not at all
57359,1-2 times a month,Not at all,1-2 times a month,Not at all
17308,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
51851,1-2 times a week,1-2 times a week,Not at all,Not at all
35855,1-2 times a week,1-2 times a week,Not at all,Not at all
67334,1-2 times a week,1-2 times a week,Not at all,Not at all
60230,1-2 times a week,1-2 times a week,Not at all,Not at all
77838,1-2 times a week,1-2 times a week,Not at all,Not at all
57292,1-2 times a week,1-2 times a week,Not at all,Not at all
66406,1-2 times a week,1-2 times a week,Not at all,Not at all
56798,Three times a week or more,1-2 times a month,1-2 times a week,Less than 1-2 times a month
23115,1-2 times a week,1-2 times a week,Not at all,Not at all
77872,Three times a week or more,1-2 times a week,Not at all,Less than 1-2 times a month
43114,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all
72348,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
45776,1-2 times a week,1-2 times a week,Not at all,Not at all
63122,1-2 times a week,1-2 times a week,Not at all,Not at all
27169,1-2 times a week,1-2 times a week,Not at all,Not at all
89607,1-2 times a week,Three times a week or more,Not at all,Not at all
59900,Not at all,Not at all,Not at all,Not at all
28254,1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all
56480,1-2 times a week,1-2 times a week,Not at all,Not at all
11128,1-2 times a week,1-2 times a week,Not at all,Not at all
47886,1-2 times a week,1-2 times a week,Not at all,Not at all
28820,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
35347,Not at all,Less than 1-2 times a month,Not at all,Not at all
45641,1-2 times a week,1-2 times a week,Not at all,Not at all
64572,1-2 times a week,1-2 times a week,Not at all,Not at all
31538,1-2 times a week,1-2 times a week,Not at all,Not at all
73452,Three times a week or more,1-2 times a month,1-2 times a month,Less than 1-2 times a month
51475,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
28312,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all
13486,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
56805,1-2 times a week,1-2 times a week,Not at all,Not at all
57697,1-2 times a week,1-2 times a week,Not at all,Not at all
54837,1-2 times a week,1-2 times a week,Not at all,Not at all
29718,1-2 times a week,1-2 times a week,Not at all,Not at all
26800,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week
60493,Not at all,Not at all,Not at all,Not at all
52051,1-2 times a week,1-2 times a week,Not at all,Not at all
30972,1-2 times a week,1-2 times a week,Not at all,Not at all
47142,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all
69217,1-2 times a month,1-2 times a week,Not at all,Not at all
69009,1-2 times a week,1-2 times a week,Not at all,Not at all
84390,Three times a week or more,1-2 times a week,Not at all,Not at all
74845,1-2 times a week,Three times a week or more,1-2 times a month,Not at all
90905,1-2 times a week,1-2 times a week,Not at all,Not at all
39659,1-2 times a week,1-2 times a week,Not at all,Not at all
60396,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
61084,1-2 times a week,1-2 times a week,Not at all,Not at all
92412,Three times a week or more,Three times a week or more,1-2 times a week,Not at all
92038,Three times a week or more,1-2 times a week,Not at all,Not at all
33388,Three times a week or more,1-2 times a month,Three times a week or more,Not at all
31717,1-2 times a week,1-2 times a week,Not at all,Not at all
86440,1-2 times a month,1-2 times a month,1-2 times a week,Not at all
95585,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
29792,Three times a week or more,Three times a week or more,1-2 times a week,1-2 times a week
14737,1-2 times a month,Not at all,Not at all,Not at all
28223,Not at all,Not at all,1-2 times a month,Not at all
55452,Three times a week or more,Three times a week or more,Not at all,Not at all
