egoid,sexorientation_6,sexcontacttype_6,sexattracttype_6
44869,Heterosexual or straight,Men only,Only attracted to males
43516,,,
89411,,,
74285,,,
56527,,,
16819,,,
34591,,,
89972,,,
92552,Heterosexual or straight,Women only,Only attracted to females
73158,Heterosexual or straight,Women only,Only attracted to females
45963,Heterosexual or straight,Men only,Only attracted to males
22138,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females
90136,,,
46744,,,
77941,Heterosexual or straight,Women only,Only attracted to females
44873,Heterosexual or straight,I have not had sexual contact,Only attracted to females
36540,,,
14527,,,
83005,Heterosexual or straight,Men only,Mostly attracted to males
31439,Heterosexual or straight,Men only,Only attracted to males
21899,Heterosexual or straight,Women only,Only attracted to females
29232,,,
32249,,,
45375,,,
25536,,,
32037,,,
90476,,,
46558,Heterosexual or straight,Women only,Only attracted to females
24016,,,
52277,,,
93699,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males
36875,Heterosexual or straight,Men only,Only attracted to males
84011,Heterosexual or straight,Men only,Only attracted to males
90646,Heterosexual or straight,Men only,Mostly attracted to males
88008,Heterosexual or straight,Women only,Only attracted to females
88967,,,
46701,,,
83566,Heterosexual or straight,I have not had sexual contact,Only attracted to males
21090,Heterosexual or straight,Men only,Only attracted to males
69419,,,
87032,,,
94641,Heterosexual or straight,Both men and women,Only attracted to females
82728,Heterosexual or straight,I have not had sexual contact,Only attracted to males
45076,Heterosexual or straight,I have not had sexual contact,Only attracted to males
58437,Heterosexual or straight,Women only,Only attracted to females
94862,,,
14606,Heterosexual or straight,I have not had sexual contact,Only attracted to females
64075,Heterosexual or straight,Women only,Only attracted to females
39787,,,
82376,,,
44872,Heterosexual or straight,Men only,Mostly attracted to males
87783,,,
22199,,,
47498,,,
57325,Heterosexual or straight,Men only,Only attracted to males
53776,Gay or lesbian,Both men and women,Mostly attracted to males
58633,,,
27306,Heterosexual or straight,I have not had sexual contact,Only attracted to males
80607,,,
73143,,,
35797,,,
46365,Heterosexual or straight,Women only,Only attracted to females
30596,,,
31045,,,
74492,Heterosexual or straight,Men only,Only attracted to males
76791,,,
21348,,,
23287,,,
14763,,,
22066,,,
64058,,,
28247,,,
72873,,,
67544,,,
76810,,,
51760,Heterosexual or straight,Women only,Only attracted to females
72806,Heterosexual or straight,Men only,Mostly attracted to males
98766,Heterosexual or straight,Women only,Only attracted to females
23042,,,
60997,Heterosexual or straight,I have not had sexual contact,Only attracted to females
36038,Heterosexual or straight,Women only,Only attracted to females
39146,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males
60963,,,
67918,Heterosexual or straight,I have not had sexual contact,Only attracted to females
34467,Heterosexual or straight,I have not had sexual contact,Only attracted to males
42132,,,
41268,,,
90692,,,
32668,Heterosexual or straight,Women only,Mostly attracted to females
24079,Heterosexual or straight,Women only,Only attracted to females
59673,Heterosexual or straight,Men only,Only attracted to males
74899,Heterosexual or straight,Women only,Mostly attracted to females
48891,,,
81807,Heterosexual or straight,Women only,Only attracted to females
77187,,,
91176,Heterosexual or straight,I have not had sexual contact,Only attracted to females
22292,,,
35011,Heterosexual or straight,I have not had sexual contact,Only attracted to males
76785,,,
60903,,,
10115,,,
35416,Heterosexual or straight,I have not had sexual contact,Only attracted to females
89710,Heterosexual or straight,Men only,Only attracted to males
97596,Heterosexual or straight,Men only,Only attracted to males
39129,,,
57359,Heterosexual or straight,Men only,Mostly attracted to males
17308,Heterosexual or straight,Men only,Only attracted to males
51851,,,
35855,,,
67334,,,
60230,,,
77838,,,
37371,,,
57292,,,
66406,,,
90447,,,
56798,,,
28827,,,
23115,,,
77872,Heterosexual or straight,Women only,Only attracted to females
43114,,,
72348,Heterosexual or straight,I have not had sexual contact,Only attracted to males
15707,,,
45776,,,
63122,,,
27169,,,
89607,Heterosexual or straight,Women only,Only attracted to females
59900,,,
28254,,,
56480,,,
11128,,,
47886,,,
28820,Heterosexual or straight,Women only,Only attracted to females
35347,Heterosexual or straight,Men only,Only attracted to males
45641,Bisexual,Both men and women,Mostly attracted to males
25369,,,
64572,,,
31538,,,
73452,Heterosexual or straight,Women only,Only attracted to females
51475,,,
28312,Heterosexual or straight,Women only,Only attracted to females
13486,Heterosexual or straight,Women only,Only attracted to females
56805,Heterosexual or straight,Women only,Only attracted to females
57697,,,
54837,,,
29718,,,
26800,Heterosexual or straight,Women only,Only attracted to females
60493,Heterosexual or straight,I have not had sexual contact,Only attracted to females
52051,,,
30972,,,
47142,,,
69217,,,
69009,,,
84390,Heterosexual or straight,Men only,Only attracted to males
74845,Heterosexual or straight,Women only,Only attracted to females
90905,,,
39659,,,
62072,,,
60396,Heterosexual or straight,Women only,Only attracted to females
61084,,,
92412,Heterosexual or straight,I have not had sexual contact,Only attracted to females
92038,Heterosexual or straight,Women only,Only attracted to females
33388,,,
31717,,,
18324,,,
86440,Heterosexual or straight,I have not had sexual contact,Only attracted to females
95585,Heterosexual or straight,Women only,Only attracted to females
29792,,,
14737,Heterosexual or straight,I have not had sexual contact,Only attracted to females
28223,Heterosexual or straight,I have not had sexual contact,Only attracted to females
85708,,,
55452,,,
20179,Heterosexual or straight,Men only,Only attracted to males
78339,,,
23696,,,
28653,Heterosexual or straight,Women only,Only attracted to females
84715,,,
95559,Heterosexual or straight,Women only,Only attracted to females
30152,Heterosexual or straight,Men only,Mostly attracted to males
68764,,,
60367,Heterosexual or straight,Women only,Only attracted to females
36939,,,
59592,Heterosexual or straight,Men only,Only attracted to males
22897,Heterosexual or straight,Women only,Only attracted to females
89652,Heterosexual or straight,Men only,Only attracted to males
28724,Heterosexual or straight,Men only,Only attracted to males
92895,,,
69831,Heterosexual or straight,I have not had sexual contact,Only attracted to females
59178,,,
50072,Heterosexual or straight,I have not had sexual contact,Only attracted to males
44927,Heterosexual or straight,I have not had sexual contact,Only attracted to males
71894,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males
76790,,,
78428,,,
66676,,I have not had sexual contact,
95930,Heterosexual or straight,I have not had sexual contact,Only attracted to males
70962,Heterosexual or straight,Men only,Mostly attracted to males
12738,,,
29647,,,
27111,,,
30453,Heterosexual or straight,Women only,Only attracted to males
58219,,,
28377,,,
80177,,,
18677,Heterosexual or straight,Men only,Only attracted to males
66047,,,
