egoid,BigFive_1_6,BigFive_2_6,BigFive_3_6,BigFive_4_6,BigFive_5_6,BigFive_6_6,BigFive_7_6,BigFive_8_6,BigFive_9_6,BigFive_10_6,BigFive_11_6,BigFive_12_6,BigFive_13_6,BigFive_14_6,BigFive_15_6,BigFive_16_6,BigFive_17_6,BigFive_18_6,BigFive_19_6,BigFive_20_6,BigFive_21_6,BigFive_22_6,BigFive_23_6,BigFive_24_6,BigFive_25_6,BigFive_26_6,BigFive_27_6,BigFive_28_6,BigFive_29_6,BigFive_30_6,BigFive_31_6,BigFive_32_6,BigFive_33_6,BigFive_34_6,BigFive_35_6,BigFive_36_6,BigFive_37_6,BigFive_38_6,BigFive_39_6,BigFive_40_6,BigFive_41_6,BigFive_42_6,BigFive_43_6,BigFive_44_6
44869,Agree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree
43516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92552,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree
73158,Neither Agree nor Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree
