egoid,BigFive_1_8,BigFive_2_8,BigFive_3_8,BigFive_4_8,BigFive_5_8,BigFive_6_8,BigFive_7_8,BigFive_8_8,BigFive_9_8,BigFive_10_8,BigFive_11_8,BigFive_12_8,BigFive_13_8,BigFive_14_8,BigFive_15_8,BigFive_16_8,BigFive_17_8,BigFive_18_8,BigFive_19_8,BigFive_20_8,BigFive_21_8,BigFive_22_8,BigFive_23_8,BigFive_24_8,BigFive_25_8,BigFive_26_8,BigFive_27_8,BigFive_28_8,BigFive_29_8,BigFive_30_8,BigFive_31_8,BigFive_32_8,BigFive_33_8,BigFive_34_8,BigFive_35_8,BigFive_36_8,BigFive_37_8,BigFive_38_8,BigFive_39_8,BigFive_40_8,BigFive_41_8,BigFive_42_8,BigFive_43_8,BigFive_44_8
44869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92552,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree
73158,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree
45963,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,Strongly Agree
