egoid,Dieting_4
44869,no
34591,no
92552,no
73158,no
45963,no
22138,no
77941,no
44873,no
83005,no
31439,no
32249,no
46558,no
24016,yes
93699,no
36875,no
84011,no
90646,no
88008,no
83566,yes
21090,no
87032,no
94641,no
82728,no
45076,no
58437,no
94862,no
14606,no
64075,no
39787,no
44872,no
87783,no
57325,no
58633,no
27306,no
46365,no
74492,yes
76791,no
23287,no
28247,no
51760,no
72806,yes
98766,no
60997,no
36038,no
39146,no
60963,no
67918,no
34467,no
90692,no
32668,no
59673,no
74899,no
35011,no
35416,no
89710,no
97596,no
57359,yes
17308,no
51851,no
77838,no
56798,no
77872,no
43114,yes
72348,no
89607,no
59900,no
28254,no
56480,no
28820,no
35347,no
45641,no
64572,no
31538,no
73452,no
51475,no
28312,no
13486,no
56805,no
29718,no
26800,no
60493,no
47142,no
69217,no
74845,no
60396,no
61084,no
92412,no
92038,no
33388,no
86440,no
29792,no
14737,no
28223,no
28653,yes
95559,no
30152,no
36939,no
59592,no
22897,no
89652,no
28724,no
69831,no
50072,no
44927,no
71894,no
76790,no
66676,no
95930,no
70962,no
29647,no
30453,no
18677,no
66047,no
58682,no
79834,no
38052,no
33133,no
40021,no
47810,yes
58196,no
76663,yes
30137,no
68318,no
62246,no
61028,no
55424,no
23576,no
57842,no
17522,no
93485,no
62617,no
42137,yes
37305,no
48013,yes
14571,no
69057,no
83542,no
18222,no
39738,no
26858,no
38826,no
93504,no
64232,no
37404,no
25961,no
87330,yes
82248,no
11482,no
70492,no
95543,no
21380,no
67106,no
25495,no
83612,no
19122,no
99978,no
92566,no
39414,no
35987,no
46373,no
79341,no
19591,no
83536,no
67608,no
19735,no
46266,no
59207,no
48946,no
86083,no
96613,no
50766,no
71089,no
80980,no
98462,no
64302,no
22688,no
38815,no
68404,no
72885,no
71193,no
98760,no
95374,no
71985,no
43125,no
98117,no
22989,no
24883,no
20650,no
66815,yes
89161,no
54956,no
14847,no
85453,no
19827,no
43382,no
44344,no
94215,no
57144,no
75438,no
99733,no
27407,no
14250,no
43794,no
60216,no
51437,no
21932,no
98206,no
36385,no
54030,yes
67993,no
96543,no
49800,no
11002,no
72850,no
15134,no
42531,no
34062,no
18111,no
42646,no
59097,no
91484,no
24833,no
84502,yes
52123,no
78783,no
25197,no
35872,no
23270,no
92716,no
70125,no
67192,no
12029,no
70745,no
93856,no
10237,no
97448,no
89165,no
97280,no
66156,no
67177,no
22540,no
87328,no
49497,no
41952,no
17183,no
22408,no
54435,no
38554,no
38293,no
33785,no
33009,no
91726,no
59355,no
96184,no
70005,no
64157,yes
68050,yes
79395,no
59863,no
63419,no
22913,no
91313,no
14511,no
73962,no
48969,no
10153,no
79731,no
64296,no
17569,no
77036,no
53518,no
33953,no
82986,no
70566,no
11402,yes
38610,no
96610,no
77711,no
17020,no
48676,no
29885,no
79167,no
43710,no
22455,no
57443,no
96469,no
94579,no
29257,no
23518,no
49539,no
63904,no
82490,no
20335,no
35031,no
88185,no
35344,no
31175,no
98325,no
50666,yes
42617,no
58793,yes
25125,no
25548,no
96689,no
33657,no
36117,no
82587,no
77532,no
92515,no
97844,no
49790,no
15181,no
78657,no
21887,no
48154,no
51495,no
21793,no
37218,no
17932,no
80429,no
75149,no
81420,no
33740,no
67709,no
36552,no
14301,no
63138,no
51298,no
74632,no
16654,no
84768,no
29134,no
24029,yes
35361,no
49086,no
85503,no
10732,no
39564,no
25172,no
95490,yes
23253,no
90079,no
47584,no
97990,no
82269,no
22842,no
14279,no
73577,no
43177,no
26857,no
28327,no
52302,no
97050,no
46418,no
93002,no
56543,no
17470,no
35180,no
89142,no
24898,yes
74413,no
50976,no
76485,no
33239,no
67574,no
10469,no
77789,no
88582,no
67015,no
26272,no
88882,no
96828,no
19245,no
83748,no
49915,no
78407,no
93787,no
17270,no
40864,no
63347,no
48826,no
35925,no
